id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,raw_data,created_at
9,9,1009,Salário-família - Complemento,01/01/2014,"",Valor excedente ao do fixado pela previdência social para o salário-família,"","{""NOME"": ""Salário-família - Complemento"", ""DTFIM"": null, ""CODIGO"": 1009, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor excedente ao do fixado pela previdência social para o salário-família"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
10,10,1010,Salário in natura - Pagos em bens ou serviços,01/01/2014,"","Salário in natura, também conhecido por salário utilidade, correspondente a remunerações pagas em bens ou serviços","","{""NOME"": ""Salário in natura - Pagos em bens ou serviços"", ""DTFIM"": null, ""CODIGO"": 1010, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Salário in natura, também conhecido por salário utilidade, correspondente a remunerações pagas em bens ou serviços"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
11,11,1011,Sobreaviso e prontidão,01/01/2014,"",Valor correspondente a um percentual da hora normal de trabalho,"","{""NOME"": ""Sobreaviso e prontidão"", ""DTFIM"": null, ""CODIGO"": 1011, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente a um percentual da hora normal de trabalho"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
12,12,1012,Descanso semanal remunerado - DSR e feriado,01/01/2014,"","Valores correspondentes a DSR e feriado: a) devidos a trabalhadores cuja remuneração não inclua o pagamento do descanso semanal remunerado (horistas, diaristas, semanalistas etc.); b) incidentes sobre parcelas salariais de natureza variável, tais como tarefa, horas extras, adicional noturno, produção, comissão etc.; c) devidos a trabalhadores que prestaram serviços nos dias de repouso semanal e feriado","","{""NOME"": ""Descanso semanal remunerado - DSR e feriado"", ""DTFIM"": null, ""CODIGO"": 1012, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valores correspondentes a DSR e feriado: a) devidos a trabalhadores cuja remuneração não inclua o pagamento do descanso semanal remunerado (horistas, diaristas, semanalistas etc.); b) incidentes sobre parcelas salariais de natureza variável, tais como tarefa, horas extras, adicional noturno, produção, comissão etc.; c) devidos a trabalhadores que prestaram serviços nos dias de repouso semanal e feriado"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
13,13,1015,Adiantamento de férias,01/01/2014,"","Valor correspondente ao pagamento do adiantamento da remuneração de férias, inclusive do terço constitucional","","{""NOME"": ""Adiantamento de férias"", ""DTFIM"": null, ""CODIGO"": 1015, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente ao pagamento do adiantamento da remuneração de férias, inclusive do terço constitucional"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
15,15,1016,Férias,01/01/2026,"","Valor correspondente à remuneração devida na época da concessão das férias. Nessa natureza deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de férias","","{""NOME"": ""Férias"", ""DTFIM"": null, ""CODIGO"": 1016, ""DTINICIO"": 1012026, ""DESCRICAO"": ""Valor correspondente à remuneração devida na época da concessão das férias. Nessa natureza deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de férias"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
17,17,1017,Terço constitucional de férias,01/01/2026,"","Valor correspondente ao terço constitucional de férias relativo à remuneração devida na época da concessão das férias. Nessa natureza deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de terço constitucional de férias",S,"{""NOME"": ""Terço constitucional de férias"", ""DTFIM"": null, ""CODIGO"": 1017, ""DTINICIO"": 1012026, ""DESCRICAO"": ""Valor correspondente ao terço constitucional de férias relativo à remuneração devida na época da concessão das férias. Nessa natureza deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de terço constitucional de férias"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": ""S""}",2026-03-28 11:15:29.753318
18,18,1018,Férias - Abono ou gratificação de férias superior a 20 dias,01/01/2014,"","Remuneração a título de abono de férias, desde que excedente a 20 (vinte) dias do salário e concedido em virtude de cláusula contratual, do regulamento da empresa, de convenção ou acordo coletivo, como por exemplo, o art. 144 da CLT",S,"{""NOME"": ""Férias - Abono ou gratificação de férias superior a 20 dias"", ""DTFIM"": null, ""CODIGO"": 1018, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Remuneração a título de abono de férias, desde que excedente a 20 (vinte) dias do salário e concedido em virtude de cláusula contratual, do regulamento da empresa, de convenção ou acordo coletivo, como por exemplo, o art. 144 da CLT"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": ""S""}",2026-03-28 11:15:29.753318
19,19,1019,Terço constitucional de férias - Abono ou gratificação de férias superior a 20 dias,01/01/2014,"","Terço constitucional de férias incidente sobre remuneração a título de abono de férias, desde que excedente a 20 (vinte) dias do salário e concedido em virtude de cláusula contratual, do regulamento da empresa, de convenção ou acordo coletivo, como por exemplo, o art. 144 da CLT",S,"{""NOME"": ""Terço constitucional de férias - Abono ou gratificação de férias superior a 20 dias"", ""DTFIM"": null, ""CODIGO"": 1019, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Terço constitucional de férias incidente sobre remuneração a título de abono de férias, desde que excedente a 20 (vinte) dias do salário e concedido em virtude de cláusula contratual, do regulamento da empresa, de convenção ou acordo coletivo, como por exemplo, o art. 144 da CLT"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": ""S""}",2026-03-28 11:15:29.753318
22,22,1022,Férias - Abono ou gratificação de férias não excedente a 20 dias,01/01/2014,"","Remuneração a título de abono de férias, incluído o terço constitucional de férias, desde que não excedente a 20 (vinte) dias do salário e concedido em virtude de cláusula contratual, do regulamento da empresa, de convenção ou acordo coletivo, como por exemplo o art. 144 da CLT",S,"{""NOME"": ""Férias - Abono ou gratificação de férias não excedente a 20 dias"", ""DTFIM"": null, ""CODIGO"": 1022, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Remuneração a título de abono de férias, incluído o terço constitucional de férias, desde que não excedente a 20 (vinte) dias do salário e concedido em virtude de cláusula contratual, do regulamento da empresa, de convenção ou acordo coletivo, como por exemplo o art. 144 da CLT"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": ""S""}",2026-03-28 11:15:29.753318
23,23,1023,Férias - Abono pecuniário,01/01/2014,"","Valor correspondente a conversão em dinheiro de parte dos dias de férias a que o trabalhador adquiriu direito, inclusive o adicional constitucional","","{""NOME"": ""Férias - Abono pecuniário"", ""DTFIM"": null, ""CODIGO"": 1023, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente a conversão em dinheiro de parte dos dias de férias a que o trabalhador adquiriu direito, inclusive o adicional constitucional"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
24,24,1024,Férias - Dobro na vigência do contrato,01/01/2014,"","Valor correspondente a remuneração a que faz jus na época da concessão das férias, concedidas após o prazo de concessão, inclusive o adicional constitucional","","{""NOME"": ""Férias - Dobro na vigência do contrato"", ""DTFIM"": null, ""CODIGO"": 1024, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente a remuneração a que faz jus na época da concessão das férias, concedidas após o prazo de concessão, inclusive o adicional constitucional"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
25,25,1040,Licença-prêmio,01/01/2014,"","Valor relativo a licença-prêmio, em decorrência de afastamento do trabalho","","{""NOME"": ""Licença-prêmio"", ""DTFIM"": null, ""CODIGO"": 1040, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor relativo a licença-prêmio, em decorrência de afastamento do trabalho"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
26,26,1041,Licença-prêmio indenizada,01/01/2014,"",Valor correspondente à conversão em dinheiro da licença-prêmio,"","{""NOME"": ""Licença-prêmio indenizada"", ""DTFIM"": null, ""CODIGO"": 1041, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente à conversão em dinheiro da licença-prêmio"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
27,27,1050,Remuneração de dias de afastamento,01/01/2014,"",Remuneração de dias nos quais o trabalhador esteja afastado do trabalho sem prejuízo de sua remuneração,"","{""NOME"": ""Remuneração de dias de afastamento"", ""DTFIM"": null, ""CODIGO"": 1050, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Remuneração de dias nos quais o trabalhador esteja afastado do trabalho sem prejuízo de sua remuneração"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
28,28,1080,Stock option,01/01/2014,"",Remuneração pelo exercício de opção de compra de ações da empresa,"","{""NOME"": ""Stock option"", ""DTFIM"": null, ""CODIGO"": 1080, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Remuneração pelo exercício de opção de compra de ações da empresa"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
29,29,1099,Outras verbas salariais,01/01/2014,"",Outras verbas salariais/remuneratórias não previstas nos demais itens,"","{""NOME"": ""Outras verbas salariais"", ""DTFIM"": null, ""CODIGO"": 1099, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Outras verbas salariais/remuneratórias não previstas nos demais itens"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
30,30,1201,Adicional de função / cargo confiança,01/01/2014,"",Adicional ou gratificação concedida em virtude de cargo ou função de confiança,"","{""NOME"": ""Adicional de função / cargo confiança"", ""DTFIM"": null, ""CODIGO"": 1201, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Adicional ou gratificação concedida em virtude de cargo ou função de confiança"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
31,31,1202,Adicional de insalubridade,01/01/2014,"",Adicional por serviços em condições de insalubridade,"","{""NOME"": ""Adicional de insalubridade"", ""DTFIM"": null, ""CODIGO"": 1202, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Adicional por serviços em condições de insalubridade"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
32,32,1203,Adicional de periculosidade,01/01/2014,"",Adicional por serviços em condições perigosas,"","{""NOME"": ""Adicional de periculosidade"", ""DTFIM"": null, ""CODIGO"": 1203, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Adicional por serviços em condições perigosas"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
33,33,1204,Adicional de transferência,01/01/2014,"","Adicional em razão de transferência de trabalhador, enquanto durar a transferência","","{""NOME"": ""Adicional de transferência"", ""DTFIM"": null, ""CODIGO"": 1204, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Adicional em razão de transferência de trabalhador, enquanto durar a transferência"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
34,34,1205,Adicional noturno,01/01/2014,"",Adicional por trabalho em horário noturno,"","{""NOME"": ""Adicional noturno"", ""DTFIM"": null, ""CODIGO"": 1205, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Adicional por trabalho em horário noturno"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
35,35,1206,Adicional por tempo de serviço,01/01/2014,"","Adicional em virtude do tempo de serviço (anuênio, quinquênio, etc.)","","{""NOME"": ""Adicional por tempo de serviço"", ""DTFIM"": null, ""CODIGO"": 1206, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Adicional em virtude do tempo de serviço (anuênio, quinquênio, etc.)"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
36,36,1207,"Comissões, porcentagens, produção",01/01/2014,"","Valor correspondente a contraprestação de serviço, normalmente baseada em um percentual sobre as vendas totais desse trabalhador","","{""NOME"": ""Comissões, porcentagens, produção"", ""DTFIM"": null, ""CODIGO"": 1207, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente a contraprestação de serviço, normalmente baseada em um percentual sobre as vendas totais desse trabalhador"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
37,37,1208,Gueltas ou gorjetas - Repassadas por fornecedores ou clientes,01/01/2014,"",Valores pagos diretamente por fornecedores a trabalhador a título de incentivos de vendas (gueltas) ou por clientes a título de recompensa por bons serviços prestados (gorjetas),"","{""NOME"": ""Gueltas ou gorjetas - Repassadas por fornecedores ou clientes"", ""DTFIM"": null, ""CODIGO"": 1208, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valores pagos diretamente por fornecedores a trabalhador a título de incentivos de vendas (gueltas) ou por clientes a título de recompensa por bons serviços prestados (gorjetas)"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
38,38,1209,Gueltas ou gorjetas - Repassadas pelo empregador,01/01/2014,"","Valores pagos relativos a gueltas ou gorjetas, por meio de repasse ao empregador","","{""NOME"": ""Gueltas ou gorjetas - Repassadas pelo empregador"", ""DTFIM"": null, ""CODIGO"": 1209, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valores pagos relativos a gueltas ou gorjetas, por meio de repasse ao empregador"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
39,39,1210,Gratificação por acordo ou convenção coletiva,01/01/2014,"",Verba estabelecida em acordo ou convenção coletiva de trabalho,"","{""NOME"": ""Gratificação por acordo ou convenção coletiva"", ""DTFIM"": null, ""CODIGO"": 1210, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Verba estabelecida em acordo ou convenção coletiva de trabalho"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
194,194,9294,Redutor EC 41/03,01/01/2014,"",Valor descontado da remuneração do instituidor da pensão (Emenda Constitucional 41/2003),"","{""NOME"": ""Redutor EC 41/03"", ""DTFIM"": null, ""CODIGO"": 9294, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor descontado da remuneração do instituidor da pensão (Emenda Constitucional 41/2003)"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
40,40,1211,Gratificações,01/01/2014,"","Verba não estabelecida em acordo ou convenção coletiva, mas paga para o empregado em decorrência de ajuste entre as partes ou por liberalidade do empregador, como por exemplo produtividade, assiduidade, etc.","","{""NOME"": ""Gratificações"", ""DTFIM"": null, ""CODIGO"": 1211, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Verba não estabelecida em acordo ou convenção coletiva, mas paga para o empregado em decorrência de ajuste entre as partes ou por liberalidade do empregador, como por exemplo produtividade, assiduidade, etc."", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
41,41,1212,Gratificações ou outras verbas de natureza permanente,01/01/2014,"","Órgão público - Parcelas remuneratórias reconhecidamente inerentes às funções do cargo efetivo, cujo valor integra a remuneração do cargo efetivo","","{""NOME"": ""Gratificações ou outras verbas de natureza permanente"", ""DTFIM"": null, ""CODIGO"": 1212, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Órgão público - Parcelas remuneratórias reconhecidamente inerentes às funções do cargo efetivo, cujo valor integra a remuneração do cargo efetivo"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
42,42,1213,Gratificações ou outras verbas de natureza transitória,01/01/2014,"",Órgão público - Parcelas remuneratórias vinculadas à atividade cujo recebimento dependa de avaliação de desempenho ou determinadas condições,"","{""NOME"": ""Gratificações ou outras verbas de natureza transitória"", ""DTFIM"": null, ""CODIGO"": 1213, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Órgão público - Parcelas remuneratórias vinculadas à atividade cujo recebimento dependa de avaliação de desempenho ou determinadas condições"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
43,43,1214,Adicional de penosidade,01/01/2014,"","Adicional pela realização de atividade árdua que exija do trabalhador esforço, atenção ou vigilância acima do comum","","{""NOME"": ""Adicional de penosidade"", ""DTFIM"": null, ""CODIGO"": 1214, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Adicional pela realização de atividade árdua que exija do trabalhador esforço, atenção ou vigilância acima do comum"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
44,44,1215,Adicional de unidocência,01/01/2014,"",Adicional de unidocência para professores de 1ª a 4ª série,"","{""NOME"": ""Adicional de unidocência"", ""DTFIM"": null, ""CODIGO"": 1215, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Adicional de unidocência para professores de 1ª a 4ª série"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
45,45,1216,Adicional de localidade,01/01/2014,"",Adicional pela realização de atividade em localidade transfronteiriça,"","{""NOME"": ""Adicional de localidade"", ""DTFIM"": null, ""CODIGO"": 1216, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Adicional pela realização de atividade em localidade transfronteiriça"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
46,46,1217,Gratificação de curso/concurso,01/01/2014,"",Verba de natureza remuneratória por atividade exercida em curso/concurso,"","{""NOME"": ""Gratificação de curso/concurso"", ""DTFIM"": null, ""CODIGO"": 1217, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Verba de natureza remuneratória por atividade exercida em curso/concurso"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
47,47,1225,Quebra de caixa,01/01/2014,"","Valor destinado a cobrir os riscos assumidos por quem trabalha com manuseio de valores, para compensar eventuais descontos ou diferenças de numerários","","{""NOME"": ""Quebra de caixa"", ""DTFIM"": null, ""CODIGO"": 1225, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor destinado a cobrir os riscos assumidos por quem trabalha com manuseio de valores, para compensar eventuais descontos ou diferenças de numerários"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
48,48,1230,Remuneração do dirigente sindical,01/01/2014,"","Remuneração paga ao trabalhador afastado, durante o exercício da atividade sindical","","{""NOME"": ""Remuneração do dirigente sindical"", ""DTFIM"": null, ""CODIGO"": 1230, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Remuneração paga ao trabalhador afastado, durante o exercício da atividade sindical"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
49,49,1299,Outros adicionais,01/01/2014,"",Valores relativos a outros adicionais não previstos nos demais itens,"","{""NOME"": ""Outros adicionais"", ""DTFIM"": null, ""CODIGO"": 1299, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valores relativos a outros adicionais não previstos nos demais itens"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
50,50,1300,PLR - Participação em Lucros ou Resultados,01/01/2014,"","Valor correspondente a participação em lucros ou resultados da empresa, de acordo com lei específica","","{""NOME"": ""PLR - Participação em Lucros ou Resultados"", ""DTFIM"": null, ""CODIGO"": 1300, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente a participação em lucros ou resultados da empresa, de acordo com lei específica"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
51,51,1350,Bolsa de estudo - Estagiário,01/01/2014,"","Valor devido ao estagiário em atividades práticas de complementação do currículo escolar, inclusive os valores pagos a título de recesso remunerado - Lei 11.788/2008","","{""NOME"": ""Bolsa de estudo - Estagiário"", ""DTFIM"": null, ""CODIGO"": 1350, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor devido ao estagiário em atividades práticas de complementação do currículo escolar, inclusive os valores pagos a título de recesso remunerado - Lei 11.788/2008"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
52,52,1351,Bolsa de estudo - Médico residente,01/01/2014,"",Bolsa de estudo ao médico residente,"","{""NOME"": ""Bolsa de estudo - Médico residente"", ""DTFIM"": null, ""CODIGO"": 1351, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Bolsa de estudo ao médico residente"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
53,53,1352,Bolsa de estudo ou pesquisa,01/01/2014,"","Remuneração a professores, pesquisadores e demais profissionais com a finalidade de estudos ou pesquisa, exceto pagamentos a estagiário e médico-residente","","{""NOME"": ""Bolsa de estudo ou pesquisa"", ""DTFIM"": null, ""CODIGO"": 1352, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Remuneração a professores, pesquisadores e demais profissionais com a finalidade de estudos ou pesquisa, exceto pagamentos a estagiário e médico-residente"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
54,54,1401,Abono,01/01/2014,"","Qualquer abono concedido de forma espontânea ou em virtude de acordo ou convenção coletiva, norma, etc.","","{""NOME"": ""Abono"", ""DTFIM"": null, ""CODIGO"": 1401, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Qualquer abono concedido de forma espontânea ou em virtude de acordo ou convenção coletiva, norma, etc."", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
55,55,1402,Abono PIS/PASEP,01/01/2014,"",Abono e/ou rendimento do PIS/PASEP repassado pelo empregador ou órgão público,"","{""NOME"": ""Abono PIS/PASEP"", ""DTFIM"": null, ""CODIGO"": 1402, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Abono e/ou rendimento do PIS/PASEP repassado pelo empregador ou órgão público"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
56,56,1403,Abono legal,01/01/2014,"","As importâncias recebidas a título de ganhos eventuais e os abonos expressamente desvinculados do salário, por força da lei","","{""NOME"": ""Abono legal"", ""DTFIM"": null, ""CODIGO"": 1403, ""DTINICIO"": 1012014, ""DESCRICAO"": ""As importâncias recebidas a título de ganhos eventuais e os abonos expressamente desvinculados do salário, por força da lei"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
57,57,1404,Auxílio babá,01/01/2014,"","Valor relativo a reembolso de despesas com babá, limitado ao menor salário de contribuição mensal e condicionado à comprovação do registro na carteira de trabalho e previdência social da empregada, do pagamento da remuneração e do recolhimento da contribuição previdenciária, pago em conformidade com a legislação trabalhista, observado o limite máximo de 6 (seis) anos de idade da criança (caso haja previsão em acordo coletivo da categoria, este limite de idade poderá ser maior)","","{""NOME"": ""Auxílio babá"", ""DTFIM"": null, ""CODIGO"": 1404, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor relativo a reembolso de despesas com babá, limitado ao menor salário de contribuição mensal e condicionado à comprovação do registro na carteira de trabalho e previdência social da empregada, do pagamento da remuneração e do recolhimento da contribuição previdenciária, pago em conformidade com a legislação trabalhista, observado o limite máximo de 6 (seis) anos de idade da criança (caso haja previsão em acordo coletivo da categoria, este limite de idade poderá ser maior)"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
71,71,1620,Ressarcimento de despesas pelo uso de veículo próprio,01/01/2014,"","Ressarcimento de despesas ao trabalhador, pela utilização de veículo de sua propriedade","","{""NOME"": ""Ressarcimento de despesas pelo uso de veículo próprio"", ""DTFIM"": null, ""CODIGO"": 1620, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Ressarcimento de despesas ao trabalhador, pela utilização de veículo de sua propriedade"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
58,58,1405,Assistência médica,01/01/2014,"","Valor pago diretamente ao trabalhador a título de assistência médica ou odontológica, inclusive o reembolso de despesas com medicamentos, óculos, aparelhos ortopédicos, despesas médico-hospitalares e outras similares","","{""NOME"": ""Assistência médica"", ""DTFIM"": null, ""CODIGO"": 1405, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor pago diretamente ao trabalhador a título de assistência médica ou odontológica, inclusive o reembolso de despesas com medicamentos, óculos, aparelhos ortopédicos, despesas médico-hospitalares e outras similares"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
59,59,1406,Auxílio-creche,01/01/2014,"","O reembolso creche pago em conformidade com a legislação trabalhista, observado o limite máximo de 6 (seis) anos de idade da criança, quando devidamente comprovadas as despesas realizadas. Caso haja previsão em acordo coletivo da categoria, este limite de idade poderá ser maior","","{""NOME"": ""Auxílio-creche"", ""DTFIM"": null, ""CODIGO"": 1406, ""DTINICIO"": 1012014, ""DESCRICAO"": ""O reembolso creche pago em conformidade com a legislação trabalhista, observado o limite máximo de 6 (seis) anos de idade da criança, quando devidamente comprovadas as despesas realizadas. Caso haja previsão em acordo coletivo da categoria, este limite de idade poderá ser maior"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
60,60,1407,Auxílio-educação,01/01/2014,"","Valor relativo a plano educacional, ou bolsa de estudo, que vise à educação básica de trabalhadores e seus dependentes e, desde que vinculada às atividades desenvolvidas pela empresa, à educação profissional e tecnológica de trabalhadores, nos termos da Lei 9.394/1996, e: 1) não seja utilizado em substituição de parcela salarial; 2) o valor mensal do plano educacional ou bolsa de estudo, considerado individualmente, não ultrapasse 5% (cinco por cento) da remuneração do segurado a que se destina ou o valor correspondente a uma vez e meia o valor do limite mínimo mensal do salário de contribuição, o que for maior","","{""NOME"": ""Auxílio-educação"", ""DTFIM"": null, ""CODIGO"": 1407, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor relativo a plano educacional, ou bolsa de estudo, que vise à educação básica de trabalhadores e seus dependentes e, desde que vinculada às atividades desenvolvidas pela empresa, à educação profissional e tecnológica de trabalhadores, nos termos da Lei 9.394/1996, e: 1) não seja utilizado em substituição de parcela salarial; 2) o valor mensal do plano educacional ou bolsa de estudo, considerado individualmente, não ultrapasse 5% (cinco por cento) da remuneração do segurado a que se destina ou o valor correspondente a uma vez e meia o valor do limite mínimo mensal do salário de contribuição, o que for maior"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
61,61,1409,Salário-família,01/01/2014,"","Valor do salário-família, conforme definição legal aplicável","","{""NOME"": ""Salário-família"", ""DTFIM"": null, ""CODIGO"": 1409, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor do salário-família, conforme definição legal aplicável"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
62,62,1410,Auxílio - Locais de difícil acesso,01/01/2014,"","Valor correspondente a transporte, habitação e alimentação fornecido ao trabalhador contratado para prestar serviço em localidade distante da sua residência, em canteiro de obras ou local que, por força da atividade, exija deslocamento e estada","","{""NOME"": ""Auxílio - Locais de difícil acesso"", ""DTFIM"": null, ""CODIGO"": 1410, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente a transporte, habitação e alimentação fornecido ao trabalhador contratado para prestar serviço em localidade distante da sua residência, em canteiro de obras ou local que, por força da atividade, exija deslocamento e estada"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
