id,upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,raw_data,created_at,col_k,col_l,col_m,col_n,col_o,col_p,col_q,col_r,col_s,col_t,col_u,col_v,col_w,col_x,col_y,col_z,col_aa,col_ab,col_ac,col_ad,col_ae,col_af,col_ag,col_ah,col_ai,col_aj,col_ak,col_al,col_am,col_an,col_ao,col_ap,col_aq,col_ar,col_as,col_at,col_au,col_av,col_aw,col_ax,col_ay,col_az,col_ba,col_bb
212,1,212,DESC. PREJUIZO CAUSADO,726,9299-Outros descontos,#N/D,#N/D,#N/D,,,,,"{""202501"": ""DESC. PREJUIZO CAUSADO"", ""__EMPTY"": ""9299-Outros descontos"", ""__EMPTY_1"": ""#N/D"", ""__EMPTY_2"": ""#N/D"", ""__EMPTY_3"": ""#N/D"", ""Competencia"": 726}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1,213,DESC. SEGURO DE VIDA,729,9250-Seguro de vida – desconto,OK,Rubrica com inconsistência de IRRF,0,,,,,"{""202501"": ""DESC. SEGURO DE VIDA"", ""__EMPTY"": ""9250-Seguro de vida – desconto"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""Rubrica com inconsistência de IRRF"", ""__EMPTY_3"": 0, ""Competencia"": 729}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,1,214,"H EXTRAS 50% NOT22,50",740,1003-Horas extraordinárias,OK,-,0,,,,,"{""202501"": ""H EXTRAS 50% NOT22,50"", ""__EMPTY"": ""1003-Horas extraordinárias"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 740}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,1,215,"ADIC. NOTURNO 22,50%",741,1205-Adicional noturno,OK,-,0,,,,,"{""202501"": ""ADIC. NOTURNO 22,50%"", ""__EMPTY"": ""1205-Adicional noturno"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 741}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,1,216,"H EXTRAS 100% NOT 22,50",743,1003-Horas extraordinárias,OK,-,0,,,,,"{""202501"": ""H EXTRAS 100% NOT 22,50"", ""__EMPTY"": ""1003-Horas extraordinárias"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 743}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,1,217,DIFERENCA CCT,746,1099-Outras verbas salariais,VERIFICAR ,-,"Natureza da Rubrica sujeridade 1000 - Salário, vencimento, soldo",,,,,"{""202501"": ""DIFERENCA CCT"", ""__EMPTY"": ""1099-Outras verbas salariais"", ""__EMPTY_1"": ""VERIFICAR "", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": ""Natureza da Rubrica sujeridade 1000 - Salário, vencimento, soldo"", ""Competencia"": 746}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1,218,DESC. JUDICIAL - 2,748,9299-Outros descontos,VERIFICAR,Rubrica com inconsistência de IRRF,0,,,,,"{""202501"": ""DESC. JUDICIAL - 2"", ""__EMPTY"": ""9299-Outros descontos"", ""__EMPTY_1"": ""VERIFICAR"", ""__EMPTY_2"": ""Rubrica com inconsistência de IRRF"", ""__EMPTY_3"": 0, ""Competencia"": 748}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,1,219,ADIC. NOTURNO C/39% MES ANTERIOR,750,1205-Adicional noturno,OK,-,0,,,,,"{""202501"": ""ADIC. NOTURNO C/39% MES ANTERIOR"", ""__EMPTY"": ""1205-Adicional noturno"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 750}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,1,220,DESC. CESTA BASICA NAO UTILIZADA,751,9243-,OK,-,0,,,,,"{""202501"": ""DESC. CESTA BASICA NAO UTILIZADA"", ""__EMPTY"": ""9243-"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 751}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1,221,DIF. 1/3 DAS FERIAS,752,1020-Férias – gozadas,VERIFICAR ,Rubrica com inconsistência de IRRF,Natureza da Rubrica sujerida 1017  - Terço constitucional de férias ,,,,,"{""202501"": ""DIF. 1/3 DAS FERIAS"", ""__EMPTY"": ""1020-Férias – gozadas"", ""__EMPTY_1"": ""VERIFICAR "", ""__EMPTY_2"": ""Rubrica com inconsistência de IRRF"", ""__EMPTY_3"": ""Natureza da Rubrica sujerida 1017  - Terço constitucional de férias "", ""Competencia"": 752}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1,222,DESC. CONTRIB. DE NATUREZA PREVIDENCIARIA,757,9232-Contribuição Sindical – Assistencial,VERIFICAR ,-,0,,,,,"{""202501"": ""DESC. CONTRIB. DE NATUREZA PREVIDENCIARIA"", ""__EMPTY"": ""9232-Contribuição Sindical – Assistencial"", ""__EMPTY_1"": ""VERIFICAR "", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 757}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,1,223,DESC. MENSALIDADE SINDICAL - BA,762,9233-Contribuição sindical – Confederativa,OK,-,0,,,,,"{""202501"": ""DESC. MENSALIDADE SINDICAL - BA"", ""__EMPTY"": ""9233-Contribuição sindical – Confederativa"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 762}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,1,224,DESC. MENSALIDADE SINDICAL,763,9233-Contribuição sindical – Confederativa,OK,-,0,,,,,"{""202501"": ""DESC. MENSALIDADE SINDICAL"", ""__EMPTY"": ""9233-Contribuição sindical – Confederativa"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 763}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,1,225,DESC. VALE REFEICAO NAO UTILIZADO MES ANTERIOR,769,9241-,OK,-,0,,,,,"{""202501"": ""DESC. VALE REFEICAO NAO UTILIZADO MES ANTERIOR"", ""__EMPTY"": ""9241-"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 769}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,1,226,DESC. VALE REFEICAO NAO UTILIZADO,771,9243-,OK,-,0,,,,,"{""202501"": ""DESC. VALE REFEICAO NAO UTILIZADO"", ""__EMPTY"": ""9243-"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 771}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,1,227,DESC. CESTA BASICA,772,1808-,OK,Rubrica com inconsistência de IRRF,0,,,,,"{""202501"": ""DESC. CESTA BASICA"", ""__EMPTY"": ""1808-"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""Rubrica com inconsistência de IRRF"", ""__EMPTY_3"": 0, ""Competencia"": 772}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,1,228,DESC. VALE REFEICAO,773,9243-,OK,-,0,,,,,"{""202501"": ""DESC. VALE REFEICAO"", ""__EMPTY"": ""9243-"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 773}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
