id,upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,raw_data,created_at,natureza_anterior,natureza_nova,usuario_correcao,data_correcao,col_k,col_l,col_m,col_n,col_o,col_p,col_q,col_r,col_s,col_t,col_u,col_v,col_w,col_x,col_y,col_z,col_aa,col_ab,col_ac,col_ad,col_ae,col_af,col_ag,col_ah,col_ai,col_aj,col_ak,col_al,col_am,col_an,col_ao,col_ap,col_aq,col_ar,col_as,col_at,col_au,col_av,col_aw,col_ax,col_ay,col_az,col_ba,col_bb
825,1,370,938,DIFERENCA DE SALARIO,"1000-Salário, vencimento, soldo ou subsídio",OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DIFERENCA DE SALARIO"", ""CodigoEvento"": 938, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,1,371,940,GRATIFICAÇÃO MÊS ANTERIOR,1211-Gratificações,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""GRATIFICAÇÃO MÊS ANTERIOR"", ""CodigoEvento"": 940, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1211-Gratificações""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,1,372,948,MULTA POR ATRASO DE SALARIO,6129-Outras Indenizações,OK,Rubrica com inconsistência de IRRF,,,,,,"{""EB"": ""Rubrica com inconsistência de IRRF"", ""Nome Evento"": ""MULTA POR ATRASO DE SALARIO"", ""CodigoEvento"": 948, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""6129-Outras Indenizações""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,1,373,950,DIF. ASSISTENCIA MEDICA,1405-Assistência médica,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DIF. ASSISTENCIA MEDICA"", ""CodigoEvento"": 950, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1405-Assistência médica""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,1,374,961,DESC. PENSAO ALIMENTICIA SALARIO,9213-Pensão alimentícia,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DESC. PENSAO ALIMENTICIA SALARIO"", ""CodigoEvento"": 961, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""9213-Pensão alimentícia""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,1,375,964,DESC. PENSAO ALIMENTICIA S/13º SALARIO,9213-Pensão alimentícia,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DESC. PENSAO ALIMENTICIA S/13º SALARIO"", ""CodigoEvento"": 964, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""9213-Pensão alimentícia""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,1,376,971,DESC.CESTA BASICA SOCIO,"1808-Cesta básica ou refeição, vinculada ao PAT",OK,Rubrica com inconsistência de IRRF,,,,,,"{""EB"": ""Rubrica com inconsistência de IRRF"", ""Nome Evento"": ""DESC.CESTA BASICA SOCIO"", ""CodigoEvento"": 971, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1808-Cesta básica ou refeição, vinculada ao PAT""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,1,377,977,ADIC. PERICULOSIDADE S/ HORA EXTRA,1203-Adicional de periculosidade,OK,-,Verificar tipo de Rendimentos no GI ,,,,,"{""EB"": ""-"", ""Nome Evento"": ""ADIC. PERICULOSIDADE S/ HORA EXTRA"", ""CodigoEvento"": 977, ""OBSERVAÇÃO "": ""Verificar tipo de Rendimentos no GI "", ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1203-Adicional de periculosidade""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,1,378,989,DESC. PGTO ASSIDUIDADE MES ANT.,1211-Gratificações,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DESC. PGTO ASSIDUIDADE MES ANT."", ""CodigoEvento"": 989, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1211-Gratificações""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,1,379,992,REEMB. ATRASO (HORAS) - MES ANTERIOR,"1000-Salário, vencimento, soldo ou subsídio",OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""REEMB. ATRASO (HORAS) - MES ANTERIOR"", ""CodigoEvento"": 992, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,1,380,993,ADICIONAL DE ESTIMULO MES ANTERIOR,1211-Gratificações,OK,"Rubrica com inconsistência de INSS, IRRF e FGTS",,,,,,"{""EB"": ""Rubrica com inconsistência de INSS, IRRF e FGTS"", ""Nome Evento"": ""ADICIONAL DE ESTIMULO MES ANTERIOR"", ""CodigoEvento"": 993, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1211-Gratificações""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,1,381,994,PARCELAMENTO,0-Não Informado,VERIFICAR,Natureza da Rubrica sujerida - 9989 Outros valores informativos,,,,,,"{""Nome Evento"": ""PARCELAMENTO"", ""CodigoEvento"": 994, ""OBSERVAÇÃO "": ""Natureza da Rubrica sujerida - 9989 Outros valores informativos"", ""Analise Natureza"": ""VERIFICAR"", ""Natureza E-social"": ""0-Não Informado""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,1,382,995,LICENCA REMUNERADA,1050-Remuneração de dias de afastamento,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""LICENCA REMUNERADA"", ""CodigoEvento"": 995, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1050-Remuneração de dias de afastamento""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,1,383,1000,ADIC. NOTURNO C/20% - (HORA EXTRA 100%),1205-Adicional noturno,OK,Rubrica com inconsistência de IRRF,,,,,,"{""EB"": ""Rubrica com inconsistência de IRRF"", ""Nome Evento"": ""ADIC. NOTURNO C/20% - (HORA EXTRA 100%)"", ""CodigoEvento"": 1000, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1205-Adicional noturno""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,1,384,1010,ADIC. INSALUBRIDADE SOBRE SALARIO,1202-Adicional de insalubridade,OK,-,Verificar tipo de Rendimentos no GI,,,,,"{""EB"": ""-"", ""Nome Evento"": ""ADIC. INSALUBRIDADE SOBRE SALARIO"", ""CodigoEvento"": 1010, ""OBSERVAÇÃO "": ""Verificar tipo de Rendimentos no GI"", ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1202-Adicional de insalubridade""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,1,385,1016,DESC. EMPRESTIMO ECONSIGNADO FGTS,9253-Empréstimos eConsignado - Desconto,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DESC. EMPRESTIMO ECONSIGNADO FGTS"", ""CodigoEvento"": 1016, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""9253-Empréstimos eConsignado - Desconto""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,1,387,1018,DESC. VALE REFEICAO MES ANTERIOR,"9241-Alimentação em ticket ou cartão, vinculada ao PAT - Desconto",OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DESC. VALE REFEICAO MES ANTERIOR"", ""CodigoEvento"": 1018, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""9241-Alimentação em ticket ou cartão, vinculada ao PAT - Desconto""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,1,388,1023,DIF ADIC. S/13º SALARIO,5001-13º salário,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DIF ADIC. S/13º SALARIO"", ""CodigoEvento"": 1023, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""5001-13º salário""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,1,389,1024,DIF ADIC. FERIAS INDENIZADAS (Rescisao),6007-Férias vencidas na rescisão,OK,Rubrica com inconsistência de IRRF,,,,,,"{""EB"": ""Rubrica com inconsistência de IRRF"", ""Nome Evento"": ""DIF ADIC. FERIAS INDENIZADAS (Rescisao)"", ""CodigoEvento"": 1024, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""6007-Férias vencidas na rescisão""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,1,390,1025,LICENCA GESTANTE POR ABORTO NAO CRIMINOSO,4050-Salário maternidade,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""LICENCA GESTANTE POR ABORTO NAO CRIMINOSO"", ""CodigoEvento"": 1025, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""4050-Salário maternidade""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,1,414,1060,HORAS EXTRAS 50% - FEVEREIRO,1003-Horas extraordinárias,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""HORAS EXTRAS 50% - FEVEREIRO"", ""CodigoEvento"": 1060, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1003-Horas extraordinárias""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,1,392,1031,DIF. MULTA POR ATRASO DE SALARIO,6129-Outras Indenizações,OK,Rubrica com inconsistência de IRRF,,,,,,"{""EB"": ""Rubrica com inconsistência de IRRF"", ""Nome Evento"": ""DIF. MULTA POR ATRASO DE SALARIO"", ""CodigoEvento"": 1031, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""6129-Outras Indenizações""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,1,393,1032,D.S.R (INTERMITENTE),1012- Descanso semanal remunerado - DSR e feriado,OK,-,Verificar informações para tipo de rendimentos no GI ,,,,,"{""EB"": ""-"", ""Nome Evento"": ""D.S.R (INTERMITENTE)"", ""CodigoEvento"": 1032, ""OBSERVAÇÃO "": ""Verificar informações para tipo de rendimentos no GI "", ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""1012- Descanso semanal remunerado - DSR e feriado""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,1,394,1033,DESC. EMPRESTIMO ECONSIGNADO FGTS,9253-Empréstimos eConsignado - Desconto,OK,-,,,,,,"{""EB"": ""-"", ""Nome Evento"": ""DESC. EMPRESTIMO ECONSIGNADO FGTS"", ""CodigoEvento"": 1033, ""Analise Natureza"": ""OK"", ""Natureza E-social"": ""9253-Empréstimos eConsignado - Desconto""}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
