id,cruzamento_upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,col_k,col_l,col_m,col_n,col_o,col_p,col_q,col_r,col_s,col_t,col_u,col_v,col_w,col_x,col_y,col_z,col_aa,col_ab,col_ac,col_ad,col_ae,col_af,col_ag,col_ah,col_ai,col_aj,col_ak,col_al,col_am,col_an,col_ao,col_ap,col_aq,col_ar,col_as,col_at,col_au,col_av,col_aw,col_ax,col_ay,col_az,col_ba,col_bb,raw_data,created_at
11472,11,22,22,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 22, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11473,11,23,23,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 23, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11474,11,24,24,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 24, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11475,11,25,25,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 25, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11476,11,26,26,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 26, ""Cód. FGTS"": 0, ""Cód. INSS"": 0, ""Cód. IRRF"": 0}",2026-03-27 16:02:12.212327
11477,11,27,27,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 27, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11478,11,28,28,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 28, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11479,11,29,29,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 29, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11480,11,30,30,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 30, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11481,11,31,31,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 31, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11482,11,32,32,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 32, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11483,11,33,33,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 33, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11484,11,34,34,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 34, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11485,11,35,35,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 35, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11486,11,36,36,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 36, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11487,11,37,37,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 37, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11488,11,38,38,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 38, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11489,11,39,39,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 39, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11490,11,40,40,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 40, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11491,11,41,41,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 41, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11492,11,42,42,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 42, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11493,11,43,43,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 43, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11494,11,44,44,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 44, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11495,11,45,45,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 45, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11496,11,46,46,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 46, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11497,11,47,47,,51,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 47, ""Cód. FGTS"": 0, ""Cód. INSS"": 51, ""Cód. IRRF"": 9}",2026-03-27 16:02:12.212327
11498,11,48,48,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 48, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11499,11,49,49,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 49, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11500,11,50,50,,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 50, ""Cód. FGTS"": 0, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11501,11,51,51,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 51, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
11502,11,52,52,,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": 52, ""Cód. FGTS"": 11, ""Cód. INSS"": 11, ""Cód. IRRF"": 11}",2026-03-27 16:02:12.212327
