id,upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,raw_data,created_at
80,,80,256,REEMB. DESC. REFEICAO (PAT),"1806 - Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
81,,81,257,ABONO DE FERIAS ARTº 143 (Ferias),1023 - Férias - abono pecuniário,0,75,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91","75 - Artigo 1º da IN RFB n° 936/2009; itens 5, 6 e 7 da Parecer PGFN/PGA nº 2.683/2008","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
82,,82,257,ABONO DE FERIAS ARTº 143 (Ferias),1023 - Férias - abono pecuniário,0,75,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",13 - Solução de consulta cosit 209/2021,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
83,,83,258,1/3 S/ABONO FERIAS ARTº 143 (Ferias),1019 -,0,75,0,"Rubrica com inconsistência de INSS, IRRF e FGTS",Rubrica não encontrada,Rubrica não encontrada,Rubrica não encontrada,,2026-03-29 12:58:13.681214
84,,84,260,DIF. CCT S/FERIAS,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
85,,85,265,REEMB. EMPRESTIMO CONSIGNADO,6129 - Outras verbas não remuneratórias (indenizatórias ou multas),0,9,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","79 - Artigos 6 da Lei nº 7.713/88 e Artigo 2° da Lei n° 8.036/90, e artigo 65 do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
86,,86,268,DIF GRATIFICACAO MES ANT,1211 - Gratificações,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
87,,87,270,H E 50% - ART. 71,1003 - Horas extraordinárias,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
88,,88,273,ARREDONDAMENTO,2999 - Arredondamentos,0,9,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
89,,89,275,VALE REFEIÇÃO,"1806 - Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
90,,90,277,PAGTO. VALE REFEICAO,"1806 - Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
91,,91,278,PAGTO. CESTA BASICA,"1808 - Alimentação concedida sob a forma de cesta básica ou refeição, por empresa vinculada ao PAT",0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
92,,92,279,DEVOL DESC. ASSIST. MEDICA,1405 - Assistência médica,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
93,,93,282,ADIANTAMENTO NORMAL,5501 - Adiantamento de salários,0,11,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
94,,94,282,ADIANTAMENTO NORMAL,5501 - Adiantamento de salários,0,11,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
95,,95,284,PAGTO. VALE ALIMENTACAO,"1806 - Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
96,,96,288,ANTECIPACAO 13º SALARIO,5504 - 13º salário - Adiantamento,0,9,12,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 26 da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
97,,97,289,MEDIAS ANTECIPACAO 13º SALARIO,5504 - 13º salário - Adiantamento,0,9,12,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 26 da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
98,,98,291,ADIC. INSALUBRIDADE S/1ª 13º SALARIO,5504 - 13º salário - Adiantamento,0,0,12,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 26 da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
99,,99,292,ADIC. NOT MES ANT C/30%,1205 - Adicional noturno,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
100,,100,293,F.G.T.S. S/13º SALARIO,9908 - FGTS - depósito,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 7º da Lei nº 8.134/90,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
101,,101,294,DESP DE VIAGENS,"1621 - Ressarcimento de despesas de viagem, exceto despesas com veículos",0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","9 - Artigo 6º, inciso II da Lei nº 7.713/88","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
102,,102,295,REEMB. ASSIST. MEDICA,1405 - Assistência médica,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
103,,103,299,ADIC. SALARIO,1211 - Gratificações,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
104,,104,303,REEMB. DESC. FALTAS E ATRASOS,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
105,,105,305,REEMB.V.REFEICAO./ ALIM. REF. EXTRAS,"1806 - Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
106,,106,312,COMPLEMENTO PGTO.,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
107,,107,314,DIF. CESTA BASICA,"1808 - Alimentação concedida sob a forma de cesta básica ou refeição, por empresa vinculada ao PAT",0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
108,,108,320,SOBRE AVISO,1011 - Sobreaviso e prontidão,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
109,,109,335,AVISO PREVIO INDENIZADO,9989 - Outros valores informativos,0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91",9 - Artigo 12-A da Lei nº 7.713/88,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
110,,110,339,DEVOLUCAO FALTAS / DSR,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
111,,111,341,DIF. CCT/2019,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
112,,112,342,DIF. CESTA BASICA CCT,"9243 - Cesta básica ou refeição, vinculada ao PAT - Desconto",0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, §9º da Lei n° 8.212/91",9 - Artigos 3º e 7º da Lei nº 7.713/88,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
113,,113,343,DIF. VALE REFEICAO CCT,"1806 - Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
114,,114,346,DIFERENCA DE SALARIO,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
115,,115,347,FERIAS VENCIDAS INDENIZADAS (Rescisao),6007 - Férias vencidas na rescisão,0,9,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88; artigo 682 do Decreto nº 9.580/2018; ADI SRF 14/2005","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
141,,141,381,ADIC. INSALUBRIDADE S/13º SALARIO,5001 - 13º salário,12,12,12,-,"12 - Artigo 28, inciso I, da Lei n° 8.212/91",12 - Artigos 3º e 7º da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
116,,116,348,1/3 FERIAS VENCIDAS INDENIZADAS (Rescisao),6007 - Férias vencidas na rescisão,0,9,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88; artigo 682 do Decreto nº 9.580/2018; ADI SRF 14/2005","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
117,,117,349,AVISO PREVIO INDENIZADO (Lei 12506),6003 - Indenização compensatória do aviso-prévio,0,9,21,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88",21 - Artigo 15 da Lei n° 8.036/90 e Súmula 305 do TST,,2026-03-29 12:58:13.681214
118,,118,350,FERIAS NORMAIS (Ferias),1016 - Férias - Gozadas,11,13,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",13 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
119,,119,350,FERIAS NORMAIS (Ferias),1016 - Férias - Gozadas,11,13,11,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91",9 - valor do pagamento informar no 1015,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
120,,120,351,1/3 FERIAS NORMAIS (Ferias),1017 - Férias - Gozadas,11,13,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",13 - Artigos 3º e 7º da Lei nº 7.713/88,11 - http://www.planalto.gov.br/ccivil_03/leis/l7713.htm,,2026-03-29 12:58:13.681214
121,,121,351,1/3 FERIAS NORMAIS (Ferias),1017 - Férias - Gozadas,11,13,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",9 - valor do pagamento informar no 1015,11 - http://www.planalto.gov.br/ccivil_03/leis/l7713.htm,,2026-03-29 12:58:13.681214
122,,122,353,AVISO PREVIO INDENIZADO,6003 - Indenização compensatória do aviso-prévio,0,0,21,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88",21 - Artigo 15 da Lei n° 8.036/90 e Súmula 305 do TST,,2026-03-29 12:58:13.681214
123,,123,354,MEDIAS S/AVISO PREVIO INDENIZADO,6003 - Indenização compensatória do aviso-prévio,0,0,21,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88",21 - Artigo 15 da Lei n° 8.036/90 e Súmula 305 do TST,,2026-03-29 12:58:13.681214
124,,124,357,FERIAS PROPORCIONAIS (Rescisao),6006 - Férias proporcionais,0,9,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88; artigo 682 do Decreto nº 9.580/2018; ADI SRF 14/2005","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
125,,125,358,1/3 FERIAS PROPORCIONAIS (Rescisao),6006 - Férias proporcionais,0,9,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88; artigo 682 do Decreto nº 9.580/2018; ADI SRF 14/2005","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
126,,126,359,ADIC. FERIAS INDENIZADAS (Rescisao),6007 - Férias vencidas na rescisão,0,9,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88; artigo 682 do Decreto nº 9.580/2018; ADI SRF 14/2005","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
127,,127,360,1/3 ADIC. FERIAS INDENIZADAS (Rescisao),6007 - Férias vencidas na rescisão,0,9,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88; artigo 682 do Decreto nº 9.580/2018; ADI SRF 14/2005","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
128,,128,361,ADIC. FERIAS S/AVISO PREVIO,6007 - Férias vencidas na rescisão,0,13,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88; artigo 682 do Decreto nº 9.580/2018; ADI SRF 14/2005","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
129,,129,363,EMPRESTIMO SALDO NEGATIVO,2930 - Insuficiência de saldo,0,0,0,Rubrica com inconsistência de IRRF,0 - Sem previsão legal.,9 - Sem previsão legal.,0 - Sem previsão legal.,,2026-03-29 12:58:13.681214
130,,130,366,DEVOL. I.N.S.S.- FOLHA,1623 - Ressarcimento de provisão,0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
131,,131,367,13º SALARIO PROP. S/AVISO PREVIO (Lei 12506),6001 - 13º salário relativo ao aviso-prévio indenizado,12,12,21,Rubrica com inconsistência de IRRF,"12 - Artigo 28, inciso I, da Lei n° 8.212/91","74 - 1.500/2014 (art. 7º, inciso III)",21 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
132,,132,368,FERIAS S/AVISO PREVIO INDENIZADO (Lei 12506),6007 - Férias vencidas na rescisão,0,9,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88; artigo 682 do Decreto nº 9.580/2018; ADI SRF 14/2005","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
133,,133,369,1/3 FERIAS S/AVISO PREVIO INDENIZADO (Lei 12506),6007 - Férias vencidas na rescisão,0,9,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88; artigo 682 do Decreto nº 9.580/2018; ADI SRF 14/2005","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
134,,134,370,13º SALARIO INDENIZADO,6002 - 13° salário proporcional na rescisão,12,12,12,-,"12 - Artigo 28, inciso I, da Lei n° 8.212/91",12 - Artigos 3º e 7º da Lei nº 7.713/88,12 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
135,,135,371,13º SALARIO PROP. S/AVISO PREVIO,6001 - 13º salário relativo ao aviso-prévio indenizado,12,12,21,Rubrica com inconsistência de IRRF,"12 - Artigo 28, inciso I, da Lei n° 8.212/91","74 - 1.500/2014 (art. 7º, inciso III)",21 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
136,,136,372,FERIAS S/AVISO PREVIO INDENIZADO,6006 - Férias proporcionais,0,9,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88; artigo 682 do Decreto nº 9.580/2018; ADI SRF 14/2005","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
137,,137,373,1/3 FERIAS S/AVISO PREVIO INDENIZADO,6006 - Férias proporcionais,0,9,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88; artigo 682 do Decreto nº 9.580/2018; ADI SRF 14/2005","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
138,,138,374,1/3 ADIC. FERIAS S/AVISO PREVIO,6006 - Férias proporcionais,0,9,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88; artigo 682 do Decreto nº 9.580/2018; ADI SRF 14/2005","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
139,,139,375,ADIC. 13º SALARIO S/AVISO PREVIO,6001 - 13º salário relativo ao aviso-prévio indenizado,12,12,21,Rubrica com inconsistência de IRRF,"12 - Artigo 28, inciso I, da Lei n° 8.212/91","74 - 1.500/2014 (art. 7º, inciso III)",21 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
140,,140,379,REEMB VALE REFEICAO/ ALIMENTACAO,"1806 - Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
143,,143,390,SALARIO MATERNIDADE,4050 - Salário maternidade,21,11,11,-,"21 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
144,,144,390,SALARIO MATERNIDADE,4050 - Salário maternidade,21,11,11,-,15 - IN 2185/2024,11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
145,,145,393,F.G.T.S. S/AVISO PREVIO (Rescisao),9908 - FGTS - depósito,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 7º da Lei nº 8.134/90,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
146,,146,396,DEVOL. I.N.S.S. - 13º SALARIO,1623 - Ressarcimento de provisão,0,11,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, inciso I, da Lei n° 8.212/91","9 - artigo 35, inciso I, alínea p do Decreto n° 9.580/2018",0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
147,,147,402,PREMIO TEMPO DE SERVICO,1206 - Adicional por tempo de serviço,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
148,,148,403,COMPLEMENTO FERIAS (DISSIDIO),1016 - Férias - Gozadas,11,13,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",13 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
149,,149,403,COMPLEMENTO FERIAS (DISSIDIO),1016 - Férias - Gozadas,11,13,11,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91",9 - valor do pagamento informar no 1015,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
150,,150,404,DIF. FERIAS,1016 - Férias - Gozadas,11,13,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",13 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
151,,151,404,DIF. FERIAS,1016 - Férias - Gozadas,11,13,11,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91",9 - valor do pagamento informar no 1015,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
152,,152,405,MEDIAS FERIAS (Ferias),1016 - Férias - Gozadas,11,13,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",13 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
153,,153,405,MEDIAS FERIAS (Ferias),1016 - Férias - Gozadas,11,13,11,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91",9 - valor do pagamento informar no 1015,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
154,,154,406,1/3 MEDIAS FERIAS (Ferias),1017 - Férias - Gozadas,11,13,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",13 - Artigos 3º e 7º da Lei nº 7.713/88,11 - http://www.planalto.gov.br/ccivil_03/leis/l7713.htm,,2026-03-29 12:58:13.681214
155,,155,406,1/3 MEDIAS FERIAS (Ferias),1017 - Férias - Gozadas,11,13,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",9 - valor do pagamento informar no 1015,11 - http://www.planalto.gov.br/ccivil_03/leis/l7713.htm,,2026-03-29 12:58:13.681214
156,,156,407,MEDIAS FERIAS S/ABONO (Ferias),1023 - Férias - abono pecuniário,0,75,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91","75 - Artigo 1º da IN RFB n° 936/2009; itens 5, 6 e 7 da Parecer PGFN/PGA nº 2.683/2008","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
157,,157,407,MEDIAS FERIAS S/ABONO (Ferias),1023 - Férias - abono pecuniário,0,75,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",13 - Solução de consulta cosit 209/2021,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
158,,158,408,1/3 MEDIAS FERIAS S/ABONO (Ferias),1023 - Férias - abono pecuniário,0,75,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91","75 - Artigo 1º da IN RFB n° 936/2009; itens 5, 6 e 7 da Parecer PGFN/PGA nº 2.683/2008","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
159,,159,408,1/3 MEDIAS FERIAS S/ABONO (Ferias),1023 - Férias - abono pecuniário,0,75,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",13 - Solução de consulta cosit 209/2021,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
160,,160,420,ABONO PECUNIARIO RODOVIARIOS,1403 - Abono legal,0,75,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
161,,161,421,AJUDA DE CUSTO,1603 - Ajuda de custo,0,73,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91","73 - Artigo 6°, inciso XX, da Lei nº 7.713/88","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
162,,162,426,COMBUSTIVEL,1620 - Ressarcimento de despesas pelo uso de veículo próprio,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88; Acórdão nº 10-39726/2012,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
163,,163,428,REEMBOLSO DESC. INDEVIDO,1629 - Ressarcimento de outras despesas – em caráter indenizatório patrimonial,0,9,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 6º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
164,,164,430,DEVOLUCAO DESC. VT,1629 - Ressarcimento de outras despesas – em caráter indenizatório patrimonial,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 6º da Lei nº 7.713/88,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
165,,165,431,DEVOLUCAO DESC. MULTAS TRANSITO,2920 - Reembolsos diversos,0,0,0,Rubrica com inconsistência de IRRF,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
