id,upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,col_k,col_l,col_m,col_n,col_o,col_p,col_q,col_r,col_s,col_t,col_u,col_v,col_w,col_x,col_y,col_z,col_aa,col_ab,col_ac,col_ad,col_ae,col_af,col_ag,col_ah,col_ai,col_aj,col_ak,col_al,col_am,col_an,col_ao,col_ap,col_aq,col_ar,col_as,col_at,col_au,col_av,col_aw,col_ax,col_ay,col_az,col_ba,col_bb,raw_data,created_at
4146,,51,171,AUX. DOENÇA,"1000-Salário, vencimento, soldo ou subsídio",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""171"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""AUX. DOENÇA"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:24.74194
4147,,52,172,ACIDENTE DE TRABALHO (15 DIAS),"1000-Salário, vencimento, soldo ou subsídio",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""172"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ACIDENTE DE TRABALHO (15 DIAS)"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:24.74194
4148,,53,173,ACIDENTE DE TRABALHO (F.G.T.S.),9932-Auxílio acidente do acidentário,0,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""173"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""ACIDENTE DE TRABALHO (F.G.T.S.)"", ""Natureza E-social"": ""9932-Auxílio acidente do acidentário""}",2026-03-27 16:02:24.74194
4149,,54,174,AUX. DOENÇA (F.G.T.S.),9989-Outros valores informativos,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""174"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""AUX. DOENÇA (F.G.T.S.)"", ""Natureza E-social"": ""9989-Outros valores informativos""}",2026-03-27 16:02:24.74194
4150,,55,176,SALARIO MES ANTERIOR,"1000-Salário, vencimento, soldo ou subsídio",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""176"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""SALARIO MES ANTERIOR"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:24.74194
4151,,56,177,SALARIO SUBSTITUTO,"1000-Salário, vencimento, soldo ou subsídio",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""177"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""SALARIO SUBSTITUTO"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:24.74194
4152,,57,185,INDENIZACAO LEI Nº 7.238/84,6102-Indenização do art. 9º lei nº 7.238/84,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""185"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""INDENIZACAO LEI Nº 7.238/84"", ""Natureza E-social"": ""6102-Indenização do art. 9º lei nº 7.238/84""}",2026-03-27 16:02:24.74194
4153,,58,187,P.L.R.,1300-PLR – Participação em Lucros ou Resultados,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""187"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""14"", ""Nome Evento"": ""P.L.R."", ""Natureza E-social"": ""1300-PLR – Participação em Lucros ou Resultados""}",2026-03-27 16:02:24.74194
4154,,59,190,REEMB. FALTAS DESC. MES ANTERIOR,"1000-Salário, vencimento, soldo ou subsídio",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""190"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""REEMB. FALTAS DESC. MES ANTERIOR"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:24.74194
4155,,60,193,F.G.T.S. PAGO,9908-FGTS - depósito,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""193"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""F.G.T.S. PAGO"", ""Natureza E-social"": ""9908-FGTS - depósito""}",2026-03-27 16:02:24.74194
4156,,61,228,REEMB. DESC. ASSIST. MEDICA,6129-Outras multas ou indenizações,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""228"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""REEMB. DESC. ASSIST. MEDICA"", ""Natureza E-social"": ""6129-Outras multas ou indenizações""}",2026-03-27 16:02:24.74194
4157,,62,231,REEMB. DESPESAS,9989-Outros valores informativos,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""231"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""REEMB. DESPESAS"", ""Natureza E-social"": ""9989-Outros valores informativos""}",2026-03-27 16:02:24.74194
4158,,63,232,REEMB. EXAME DEMISSIONAL,9989-Outros valores informativos,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""232"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""REEMB. EXAME DEMISSIONAL"", ""Natureza E-social"": ""9989-Outros valores informativos""}",2026-03-27 16:02:24.74194
4159,,64,233,REEMB. REFEICAO,1801-Alimentação,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""233"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""REEMB. REFEICAO"", ""Natureza E-social"": ""1801-Alimentação""}",2026-03-27 16:02:24.74194
4160,,65,234,REEMB. EXAMES MÉDICOS,6129-Outras multas ou indenizações,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""234"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""REEMB. EXAMES MÉDICOS"", ""Natureza E-social"": ""6129-Outras multas ou indenizações""}",2026-03-27 16:02:24.74194
4161,,66,236,REEMB. VALE REFEICAO DIF.DISSIDIO,"1806-Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""236"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""REEMB. VALE REFEICAO DIF.DISSIDIO"", ""Natureza E-social"": ""1806-Alimentação em ticket ou cartão, vinculada ao PAT""}",2026-03-27 16:02:24.74194
4162,,67,240,REEMB. SALARIO FAMILIA,1409-Salário-família,51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""240"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""51"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""REEMB. SALARIO FAMILIA"", ""Natureza E-social"": ""1409-Salário-família""}",2026-03-27 16:02:24.74194
4163,,68,241,SALÁRIO FAMILIA MES ANTERIOR,1409-Salário-família,51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""241"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""51"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""SALÁRIO FAMILIA MES ANTERIOR"", ""Natureza E-social"": ""1409-Salário-família""}",2026-03-27 16:02:24.74194
4164,,69,243,REEMB. CONTRIB. SINDICAL,6129-Outras multas ou indenizações,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""243"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""REEMB. CONTRIB. SINDICAL"", ""Natureza E-social"": ""6129-Outras multas ou indenizações""}",2026-03-27 16:02:24.74194
4165,,70,249,REEMB. DESC. ASS. ODONTOLOGICA,6129-Outras multas ou indenizações,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""249"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""REEMB. DESC. ASS. ODONTOLOGICA"", ""Natureza E-social"": ""6129-Outras multas ou indenizações""}",2026-03-27 16:02:24.74194
4166,,71,252,AJUDA CRECHE CCT,1406-Auxílio-creche,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""252"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""AJUDA CRECHE CCT"", ""Natureza E-social"": ""1406-Auxílio-creche""}",2026-03-27 16:02:24.74194
4167,,72,253,DEV. ATRASO/FALTA HORAS,"1000-Salário, vencimento, soldo ou subsídio",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""253"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""DEV. ATRASO/FALTA HORAS"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:24.74194
4168,,73,254,REEMB. MENSALIDADE. SINDICAL,9231-Contribuição Sindical – Associativa,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""254"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""REEMB. MENSALIDADE. SINDICAL"", ""Natureza E-social"": ""9231-Contribuição Sindical – Associativa""}",2026-03-27 16:02:24.74194
4169,,74,256,REEMB. DESC. REFEICAO (PAT),"1806-Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""256"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""REEMB. DESC. REFEICAO (PAT)"", ""Natureza E-social"": ""1806-Alimentação em ticket ou cartão, vinculada ao PAT""}",2026-03-27 16:02:24.74194
4170,,75,257,ABONO DE FERIAS ARTº 143 (Ferias),1023-Férias - Abono pecuniário,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""257"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""75"", ""Nome Evento"": ""ABONO DE FERIAS ARTº 143 (Ferias)"", ""Natureza E-social"": ""1023-Férias - Abono pecuniário""}",2026-03-27 16:02:24.74194
4171,,76,258,1/3 S/ABONO FERIAS ARTº 143 (Ferias),1019 - Terço constitucional de férias - Abono ou gratificação de férias superior a 20 dias,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""258"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""75"", ""Nome Evento"": ""1/3 S/ABONO FERIAS ARTº 143 (Ferias)"", ""Natureza E-social"": ""1019 - Terço constitucional de férias - Abono ou gratificação de férias superior a 20 dias""}",2026-03-27 16:02:24.74194
4172,,77,260,DIF. CCT S/FERIAS,"1000-Salário, vencimento, soldo ou subsídio",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""260"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""DIF. CCT S/FERIAS"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:24.74194
4173,,78,265,REEMB. EMPRESTIMO CONSIGNADO,6129-Outras multas ou indenizações,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""265"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""REEMB. EMPRESTIMO CONSIGNADO"", ""Natureza E-social"": ""6129-Outras multas ou indenizações""}",2026-03-27 16:02:24.74194
4174,,79,268,DIF GRATIFICACAO MES ANT,1211-Gratificações,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""268"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""DIF GRATIFICACAO MES ANT"", ""Natureza E-social"": ""1211-Gratificações""}",2026-03-27 16:02:24.74194
4175,,80,270,H E 50% - ART. 71,1003-Horas extraordinárias,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""270"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""H E 50% - ART. 71"", ""Natureza E-social"": ""1003-Horas extraordinárias""}",2026-03-27 16:02:24.74194
4176,,81,273,ARREDONDAMENTO,2999-Arredondamentos,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""273"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""ARREDONDAMENTO"", ""Natureza E-social"": ""2999-Arredondamentos""}",2026-03-27 16:02:24.74194
4177,,82,275,VALE REFEIÇÃO,"1806-Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""275"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""VALE REFEIÇÃO"", ""Natureza E-social"": ""1806-Alimentação em ticket ou cartão, vinculada ao PAT""}",2026-03-27 16:02:24.74194
4178,,83,277,PAGTO. VALE REFEICAO,"1806-Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""277"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""PAGTO. VALE REFEICAO"", ""Natureza E-social"": ""1806-Alimentação em ticket ou cartão, vinculada ao PAT""}",2026-03-27 16:02:24.74194
4179,,84,278,PAGTO. CESTA BASICA,"1808-Cesta básica ou refeição, vinculada ao PAT",0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""278"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""PAGTO. CESTA BASICA"", ""Natureza E-social"": ""1808-Cesta básica ou refeição, vinculada ao PAT""}",2026-03-27 16:02:24.74194
4180,,85,279,DEVOL DESC. ASSIST. MEDICA,1405-Assistência médica,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""279"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""DEVOL DESC. ASSIST. MEDICA"", ""Natureza E-social"": ""1405-Assistência médica""}",2026-03-27 16:02:24.74194
4181,,86,282,ADIANTAMENTO NORMAL,5501-Adiantamento de salário,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""282"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ADIANTAMENTO NORMAL"", ""Natureza E-social"": ""5501-Adiantamento de salário""}",2026-03-27 16:02:24.74194
4182,,87,284,PAGTO. VALE ALIMENTACAO,"1806-Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""284"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""PAGTO. VALE ALIMENTACAO"", ""Natureza E-social"": ""1806-Alimentação em ticket ou cartão, vinculada ao PAT""}",2026-03-27 16:02:24.74194
4183,,88,288,ANTECIPACAO 13º SALARIO,5504-13º salário - Adiantamento,0,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""288"", ""Cód. FGTS"": ""12"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""ANTECIPACAO 13º SALARIO"", ""Natureza E-social"": ""5504-13º salário - Adiantamento""}",2026-03-27 16:02:24.74194
4184,,89,289,MEDIAS ANTECIPACAO 13º SALARIO,5504-13º salário - Adiantamento,0,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""289"", ""Cód. FGTS"": ""12"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""MEDIAS ANTECIPACAO 13º SALARIO"", ""Natureza E-social"": ""5504-13º salário - Adiantamento""}",2026-03-27 16:02:24.74194
4185,,90,291,ADIC. INSALUBRIDADE S/1ª 13º SALARIO,5504-13º salário - Adiantamento,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""291"", ""Cód. FGTS"": ""12"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""ADIC. INSALUBRIDADE S/1ª 13º SALARIO"", ""Natureza E-social"": ""5504-13º salário - Adiantamento""}",2026-03-27 16:02:24.74194
4186,,91,292,ADIC. NOT MES ANT C/30%,1205-Adicional noturno,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""292"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ADIC. NOT MES ANT C/30%"", ""Natureza E-social"": ""1205-Adicional noturno""}",2026-03-27 16:02:24.74194
4187,,92,293,F.G.T.S. S/13º SALARIO,9908-FGTS - depósito,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""293"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""F.G.T.S. S/13º SALARIO"", ""Natureza E-social"": ""9908-FGTS - depósito""}",2026-03-27 16:02:24.74194
4188,,93,294,DESP DE VIAGENS,"1621-Ressarcimento de despesas de viagem, exceto despesas com veículos",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""294"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""DESP DE VIAGENS"", ""Natureza E-social"": ""1621-Ressarcimento de despesas de viagem, exceto despesas com veículos""}",2026-03-27 16:02:24.74194
4189,,94,295,REEMB. ASSIST. MEDICA,1405-Assistência médica,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""295"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""REEMB. ASSIST. MEDICA"", ""Natureza E-social"": ""1405-Assistência médica""}",2026-03-27 16:02:24.74194
4190,,95,299,ADIC. SALARIO,1211-Gratificações,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""299"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ADIC. SALARIO"", ""Natureza E-social"": ""1211-Gratificações""}",2026-03-27 16:02:24.74194
4191,,96,303,REEMB. DESC. FALTAS E ATRASOS,"1000-Salário, vencimento, soldo ou subsídio",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""303"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""REEMB. DESC. FALTAS E ATRASOS"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:24.74194
4192,,97,305,REEMB.V.REFEICAO./ ALIM. REF. EXTRAS,"1806-Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""305"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""REEMB.V.REFEICAO./ ALIM. REF. EXTRAS"", ""Natureza E-social"": ""1806-Alimentação em ticket ou cartão, vinculada ao PAT""}",2026-03-27 16:02:24.74194
4193,,98,312,COMPLEMENTO PGTO.,"1000-Salário, vencimento, soldo ou subsídio",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""312"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""COMPLEMENTO PGTO."", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:24.74194
4194,,99,314,DIF. CESTA BASICA,"1808-Cesta básica ou refeição, vinculada ao PAT",0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""314"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""DIF. CESTA BASICA"", ""Natureza E-social"": ""1808-Cesta básica ou refeição, vinculada ao PAT""}",2026-03-27 16:02:24.74194
4195,,100,320,SOBRE AVISO,1011-Sobreaviso e prontidão,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""320"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""SOBRE AVISO"", ""Natureza E-social"": ""1011-Sobreaviso e prontidão""}",2026-03-27 16:02:24.74194
4196,,101,328,ADIANTAMENTO DE SALARIO,"",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""328"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""ADIANTAMENTO DE SALARIO"", ""Natureza E-social"": """"}",2026-03-27 16:02:24.74194
4197,,102,335,AVISO PREVIO INDENIZADO,9989-Outros valores informativos,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""335"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""AVISO PREVIO INDENIZADO"", ""Natureza E-social"": ""9989-Outros valores informativos""}",2026-03-27 16:02:24.74194
4198,,103,339,DEVOLUCAO FALTAS / DSR,"1000-Salário, vencimento, soldo",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""339"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""DEVOLUCAO FALTAS / DSR"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo""}",2026-03-27 16:02:24.74194
4199,,104,341,DIF. CCT/2019,"1000-Salário, vencimento, soldo ou subsídio",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""341"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""DIF. CCT/2019"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:24.74194
4200,,105,342,DIF. CESTA BASICA CCT,"9243-Cesta básica ou refeição, vinculada ao PAT - Desconto",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""342"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""0"", ""Nome Evento"": ""DIF. CESTA BASICA CCT"", ""Natureza E-social"": ""9243-Cesta básica ou refeição, vinculada ao PAT - Desconto""}",2026-03-27 16:02:24.74194
4201,,106,343,DIF. VALE REFEICAO CCT,"1806-Alimentação em ticket ou cartão, vinculada ao PAT",0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""343"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""DIF. VALE REFEICAO CCT"", ""Natureza E-social"": ""1806-Alimentação em ticket ou cartão, vinculada ao PAT""}",2026-03-27 16:02:24.74194
4202,,107,346,DIFERENCA DE SALARIO,"1000-Salário, vencimento, soldo ou subsídio",11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""346"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""DIFERENCA DE SALARIO"", ""Natureza E-social"": ""1000-Salário, vencimento, soldo ou subsídio""}",2026-03-27 16:02:24.74194
