id,upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,col_k,col_l,col_m,col_n,col_o,col_p,col_q,col_r,col_s,col_t,col_u,col_v,col_w,col_x,col_y,col_z,col_aa,col_ab,col_ac,col_ad,col_ae,col_af,col_ag,col_ah,col_ai,col_aj,col_ak,col_al,col_am,col_an,col_ao,col_ap,col_aq,col_ar,col_as,col_at,col_au,col_av,col_aw,col_ax,col_ay,col_az,col_ba,col_bb,raw_data,created_at
4108,,13,47,SALARIO FAMILIA,1409-Salário-família,51,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""47"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""51"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""SALARIO FAMILIA"", ""Natureza E-social"": ""1409-Salário-família""}",2026-03-27 16:02:24.74194
4109,,14,52,ADIC. NOTURNO C/20%,1205-Adicional noturno,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""52"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ADIC. NOTURNO C/20%"", ""Natureza E-social"": ""1205-Adicional noturno""}",2026-03-27 16:02:24.74194
4110,,15,53,REEMB. I.R.F.,1623-Ressarcimento de provisão,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""53"", ""Cód. FGTS"": ""0"", ""Cód. INSS"": ""0"", ""Cód. IRRF"": ""9"", ""Nome Evento"": ""REEMB. I.R.F."", ""Natureza E-social"": ""1623-Ressarcimento de provisão""}",2026-03-27 16:02:24.74194
4111,,16,54,ADIC. NOTURNO C/25%,1205-Adicional noturno,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""54"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ADIC. NOTURNO C/25%"", ""Natureza E-social"": ""1205-Adicional noturno""}",2026-03-27 16:02:24.74194
4112,,17,55,PRO-LABORE,3508-Retiradas (pró-labore) de proprietários ou sócios,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""55"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""PRO-LABORE"", ""Natureza E-social"": ""3508-Retiradas (pró-labore) de proprietários ou sócios""}",2026-03-27 16:02:24.74194
4113,,18,56,ADIC. NOTURNO C/30%,1205-Adicional noturno,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""56"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ADIC. NOTURNO C/30%"", ""Natureza E-social"": ""1205-Adicional noturno""}",2026-03-27 16:02:24.74194
4114,,19,57,ADIC. NOTURNO C/35%,1205-Adicional noturno,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""57"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ADIC. NOTURNO C/35%"", ""Natureza E-social"": ""1205-Adicional noturno""}",2026-03-27 16:02:24.74194
4115,,20,60,ADIC. INSALUBRIDADE 07/2019,1202-Adicional de insalubridade,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""60"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ADIC. INSALUBRIDADE 07/2019"", ""Natureza E-social"": ""1202-Adicional de insalubridade""}",2026-03-27 16:02:24.74194
4116,,21,61,ADIC. INSALUBRIDADE MES ANT.,1202-Adicional de insalubridade,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""61"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ADIC. INSALUBRIDADE MES ANT."", ""Natureza E-social"": ""1202-Adicional de insalubridade""}",2026-03-27 16:02:24.74194
4117,,22,62,ADIC. INSALUBRIDADE,1202-Adicional de insalubridade,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""62"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ADIC. INSALUBRIDADE"", ""Natureza E-social"": ""1202-Adicional de insalubridade""}",2026-03-27 16:02:24.74194
4118,,23,64,ADIC. NOTURNO C/50%,1205-Adicional noturno,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""64"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ADIC. NOTURNO C/50%"", ""Natureza E-social"": ""1205-Adicional noturno""}",2026-03-27 16:02:24.74194
4119,,24,65,ADIC. NOTURNO MES ANTERIOR,1205-Adicional noturno,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""65"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ADIC. NOTURNO MES ANTERIOR"", ""Natureza E-social"": ""1205-Adicional noturno""}",2026-03-27 16:02:24.74194
4120,,25,66,ADIC. NOTURNO MES ANT 20%,1205-Adicional noturno,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Código"": ""66"", ""Cód. FGTS"": ""11"", ""Cód. INSS"": ""11"", ""Cód. IRRF"": ""11"", ""Nome Evento"": ""ADIC. NOTURNO MES ANT 20%"", ""Natureza E-social"": ""1205-Adicional noturno""}",2026-03-27 16:02:24.74194
