codigo,nome,dt_inicio,dt_fim,descricao,versao
9299,Outros descontos,2014-01-01,,Outros descontos não previstos nos demais itens,17
9901,Base de cálculo da contribuição previdenciária,2014-01-01,,Valor total da base de cálculo da contribuição previdenciária,17
9902,Total da base de cálculo do FGTS,2014-01-01,,Valor total da base de cálculo do FGTS,17
9903,Total da base de cálculo do IRRF,2014-01-01,,Valor total da base de cálculo do Imposto de Renda Retido na Fonte,17
9904,Total da base de cálculo do FGTS rescisório,2014-01-01,,Valor total da base de cálculo do FGTS rescisório,17
9905,Serviço militar,2014-01-01,,"Valor não relativo a vencimento ou desconto, relativo à remuneração a que teria direito, se em atividade, o trabalhador afastado do trabalho para prestação do serviço militar obrigatório",17
9906,Remuneração no exterior,2014-01-01,,Remuneração recebida no exterior por trabalhador expatriado sobre a qual incida contribuição previdenciária e/ou IRRF e/ou FGTS,17
9907,Total da contribuição da previdenciária patronal - RPPS,2014-01-01,,"Valor total da contribuição previdenciária patronal para o RPPS (normal, suplementar e aportes)",17
9908,FGTS - Depósito,2014-01-01,,Valor do depósito do FGTS,17
9910,Seguros,2014-01-01,,Valor relativo a prêmio de seguro de vida em grupo pago a empresa de seguros como benefício do trabalhador,17
9911,Assistência Médica,2014-01-01,,"Valor não relativo a vencimento ou desconto, relativo à assistência prestada por serviço médico ou odontológico, próprio da empresa ou por ela conveniado, como benefício ao trabalhador",17
9930,Salário-maternidade pago pela Previdência Social,2014-01-01,,"Valor correspondente à remuneração mensal do(a) trabalhador(a) durante a licença maternidade, quando paga pela Previdência Social (RGPS ou pela Unidade Gestora do RPPS)",17
9931,Salário-maternidade pago pela Previdência Social - 13° salário,2014-01-01,,"Valor correspondente ao 13° salário do(a) trabalhador(a) durante a licença maternidade, quando pago pela Previdência Social (RGPS ou pela Unidade Gestora do RPPS)",17
9932,Auxílio-doença acidentário,2014-01-01,,Valor relativo a base de cálculo do FGTS referente a afastamento decorrente de acidente de trabalho,17
9933,Auxílio-doença,2014-01-01,,Valor de benefício previdenciário pago por Regime Próprio de Previdência Social ou valor de auxílio-doença dedutível conforme Lei 13.982/2020 (Covid-19),17
9938,Isenção IRRF - 65 anos,2014-01-01,,"Valor da parcela isenta dos rendimentos de aposentadoria e pensão, transferência para a reserva remunerada ou reforma, pagos por órgão público de previdência oficial ou por entidade de previdência complementar, no caso de contribuinte com idade igual ou superior a 65 anos",17
9939,Outros valores tributáveis,2014-01-01,,"Valor não relativo a vencimento ou desconto mas considerado como base de cálculo do FGTS, e/ou da contribuição previdenciária e/ou do Imposto de Renda Retido na Fonte inclusive suas deduções e isenções",17
9950,Horas extraordinárias - Banco de horas,2014-01-01,2019-10-31,Quantidade (em número decimal com dois dígitos) de horas extraordinárias incorporadas ao banco de horas,17
9951,Horas compensadas - Banco de horas,2014-01-01,2019-10-31,Quantidade (em número decimal com dois dígitos) de horas compensadas no banco de horas,17
9989,Outros valores informativos,2014-01-01,,"Outros valores informativos, que não sejam vencimentos nem descontos",17
