codigo,nome,dt_inicio,dt_fim,descricao,versao
1213,Gratificações ou outras verbas de natureza transitória,2014-01-01,,Órgão público - Parcelas remuneratórias vinculadas à atividade cujo recebimento dependa de avaliação de desempenho ou determinadas condições,17
1214,Adicional de penosidade,2014-01-01,,"Adicional pela realização de atividade árdua que exija do trabalhador esforço, atenção ou vigilância acima do comum",17
1215,Adicional de unidocência,2014-01-01,,Adicional de unidocência para professores de 1ª a 4ª série,17
1216,Adicional de localidade,2014-01-01,,Adicional pela realização de atividade em localidade transfronteiriça,17
1217,Gratificação de curso/concurso,2014-01-01,,Verba de natureza remuneratória por atividade exercida em curso/concurso,17
1225,Quebra de caixa,2014-01-01,,"Valor destinado a cobrir os riscos assumidos por quem trabalha com manuseio de valores, para compensar eventuais descontos ou diferenças de numerários",17
1230,Remuneração do dirigente sindical,2014-01-01,,"Remuneração paga ao trabalhador afastado, durante o exercício da atividade sindical",17
1299,Outros adicionais,2014-01-01,,Valores relativos a outros adicionais não previstos nos demais itens,17
1300,PLR - Participação em Lucros ou Resultados,2014-01-01,,"Valor correspondente a participação em lucros ou resultados da empresa, de acordo com lei específica",17
1350,Bolsa de estudo - Estagiário,2014-01-01,,"Valor devido ao estagiário em atividades práticas de complementação do currículo escolar, inclusive os valores pagos a título de recesso remunerado - Lei 11.788/2008",17
1351,Bolsa de estudo - Médico residente,2014-01-01,,Bolsa de estudo ao médico residente,17
1352,Bolsa de estudo ou pesquisa,2014-01-01,,"Remuneração a professores, pesquisadores e demais profissionais com a finalidade de estudos ou pesquisa, exceto pagamentos a estagiário e médico-residente",17
1401,Abono,2014-01-01,,"Qualquer abono concedido de forma espontânea ou em virtude de acordo ou convenção coletiva, norma, etc.",17
1402,Abono PIS/PASEP,2014-01-01,,Abono e/ou rendimento do PIS/PASEP repassado pelo empregador ou órgão público,17
1403,Abono legal,2014-01-01,,"As importâncias recebidas a título de ganhos eventuais e os abonos expressamente desvinculados do salário, por força da lei",17
1404,Auxílio babá,2014-01-01,,"Valor relativo a reembolso de despesas com babá, limitado ao menor salário de contribuição mensal e condicionado à comprovação do registro na carteira de trabalho e previdência social da empregada, do pagamento da remuneração e do recolhimento da contribuição previdenciária, pago em conformidade com a legislação trabalhista, observado o limite máximo de 6 (seis) anos de idade da criança (caso haja previsão em acordo coletivo da categoria, este limite de idade poderá ser maior)",17
1405,Assistência médica,2014-01-01,,"Valor pago diretamente ao trabalhador a título de assistência médica ou odontológica, inclusive o reembolso de despesas com medicamentos, óculos, aparelhos ortopédicos, despesas médico-hospitalares e outras similares",17
1406,Auxílio-creche,2014-01-01,,"O reembolso creche pago em conformidade com a legislação trabalhista, observado o limite máximo de 6 (seis) anos de idade da criança, quando devidamente comprovadas as despesas realizadas. Caso haja previsão em acordo coletivo da categoria, este limite de idade poderá ser maior.",17
