Envio_ID;Tipo_Evento;Modo;Início_Validade;Status;Protocolo;Código_Resposta;Descrição_Resposta;Nr_Recibo;Rubricas;Data_Envio
42;CONSULTA-IDENT;consulta;2024-12;sucesso;;203;Quantidade total de eventos encontrados de acordo com o filtro informado: 13. Data de envio do último evento retornado: 04/04/2026 03:02:22.;;;09/04/2026 13:35
43;DOWNLOAD-S5002;consulta;2024-12;sucesso;;201;Evento encontrado.;;;09/04/2026 13:35
46;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998117450;201;Lote Recebido com Sucesso.;1.1.0000000039805605437;? (?);09/04/2026 14:30
47;S-1010;alteracao;2026-01;erro;;402;Lote Incorreto - Schema Inválido.;;? (?), ? (?), ? (?), ? (?), ? (?);09/04/2026 14:33
48;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998156600;201;Lote Recebido com Sucesso.;1.1.0000000039805884030;? (?);09/04/2026 14:33
49;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998160921;201;Lote Recebido com Sucesso.;1.1.0000000039805925050;? (?);09/04/2026 14:34
50;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998163065;201;Lote Recebido com Sucesso.;1.1.0000000039805943156;? (?);09/04/2026 14:34
51;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998254040;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:41
52;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998259194;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:42
53;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998263722;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:42
54;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998269611;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:43
55;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998274697;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:43
56;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998279673;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:44
57;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998284119;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:44
58;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998289826;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:45
59;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998291469;201;Lote Recebido com Sucesso.;1.1.0000000039806852633;? (?);09/04/2026 14:45
60;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998293854;201;Lote Recebido com Sucesso.;1.1.0000000039806873303;? (?);09/04/2026 14:45
61;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998296071;201;Lote Recebido com Sucesso.;1.1.0000000039806888621;? (?);09/04/2026 14:45
62;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998296559;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:45
63;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998298389;201;Lote Recebido com Sucesso.;1.1.0000000039806904283;? (?);09/04/2026 14:45
64;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998300847;201;Lote Recebido com Sucesso.;1.1.0000000039806921516;? (?);09/04/2026 14:46
65;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998303112;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:46
66;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998303595;201;Lote Recebido com Sucesso.;1.1.0000000039806939810;? (?);09/04/2026 14:46
67;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998306175;201;Lote Recebido com Sucesso.;1.1.0000000039806961681;? (?);09/04/2026 14:46
68;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998310003;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:47
69;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998310765;201;Lote Recebido com Sucesso.;1.1.0000000039806990223;? (?);09/04/2026 14:47
70;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998312810;201;Lote Recebido com Sucesso.;1.1.0000000039807004541;? (?);09/04/2026 14:47
71;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998314837;201;Lote Recebido com Sucesso.;1.1.0000000039807017979;? (?);09/04/2026 14:47
72;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998315201;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:47
73;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998316987;201;Lote Recebido com Sucesso.;1.1.0000000039807032858;? (?);09/04/2026 14:47
74;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998318978;201;Lote Recebido com Sucesso.;1.1.0000000039807046421;? (?);09/04/2026 14:47
75;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998321016;201;Lote Recebido com Sucesso.;1.1.0000000039807060440;? (?);09/04/2026 14:48
76;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998321453;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:48
77;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998323210;201;Lote Recebido com Sucesso.;1.1.0000000039807073472;? (?);09/04/2026 14:48
78;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998325338;201;Lote Recebido com Sucesso.;1.1.0000000039807086850;? (?);09/04/2026 14:48
79;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998326805;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:48
80;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998327633;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:48
81;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998331842;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:49
82;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998333291;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:49
83;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998334654;201;Lote Recebido com Sucesso.;1.1.0000000039807155105;? (?);09/04/2026 14:49
84;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998336841;201;Lote Recebido com Sucesso.;1.1.0000000039807170333;? (?);09/04/2026 14:49
85;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998338976;201;Lote Recebido com Sucesso.;1.1.0000000039807184208;? (?);09/04/2026 14:49
86;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998339382;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:49
87;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998341172;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:50
88;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998344608;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:50
89;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998348604;201;Lote Recebido com Sucesso.;1.1.0000000039807264019;? (?);09/04/2026 14:50
90;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998351036;201;Lote Recebido com Sucesso.;1.1.0000000039807278446;? (?);09/04/2026 14:50
91;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998351651;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:51
92;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998353718;201;Lote Recebido com Sucesso.;1.1.0000000039807294318;? (?);09/04/2026 14:51
93;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998356167;201;Lote Recebido com Sucesso.;1.1.0000000039807309311;? (?);09/04/2026 14:51
94;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998357795;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:51
95;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998358665;201;Lote Recebido com Sucesso.;1.1.0000000039807324320;? (?);09/04/2026 14:51
96;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998361333;201;Lote Recebido com Sucesso.;1.1.0000000039807340048;? (?);09/04/2026 14:51
97;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998364218;201;Lote Recebido com Sucesso.;1.1.0000000039807359135;? (?);09/04/2026 14:52
98;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998365950;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:52
99;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998366815;201;Lote Recebido com Sucesso.;1.1.0000000039807374366;? (?);09/04/2026 14:52
100;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998369017;201;Lote Recebido com Sucesso.;1.1.0000000039807388586;? (?);09/04/2026 14:52
101;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998371158;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:52
102;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998371552;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:52
103;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998374385;201;Lote Recebido com Sucesso.;1.1.0000000039807425444;? (?);09/04/2026 14:52
104;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998376536;201;Lote Recebido com Sucesso.;1.1.0000000039807441294;? (?);09/04/2026 14:53
105;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998378081;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 14:53
106;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998378903;201;Lote Recebido com Sucesso.;1.1.0000000039807458393;? (?);09/04/2026 14:53
107;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998381085;201;Lote Recebido com Sucesso.;1.1.0000000039807475523;? (?);09/04/2026 14:53
